Date,Price
2015-01-02,112.79663848876953
2015-01-05,112.91825103759766
2015-01-06,111.58454895019531
2015-01-07,113.97407531738281
2015-01-08,117.63719940185547
2015-01-09,117.09552001953125
2015-01-12,116.70939636230469
2015-01-13,117.3450927734375
2015-01-14,114.73918151855469
2015-01-15,118.13152313232422
2015-01-16,118.3967056274414
2015-01-19,119.49495697021484
2015-01-20,118.76866149902344
2015-01-21,119.56352233886719
2015-01-22,121.86458587646484
2015-01-23,124.63737487792969
2015-01-26,124.22090911865234
2015-01-27,119.4241943359375
2015-01-28,119.22828674316406
2015-01-29,116.75321960449219
2015-01-30,119.12931823730469
2015-02-02,116.4484634399414
2015-02-03,118.20152282714844
2015-02-04,119.51118469238281
2015-02-05,120.02737426757812
2015-02-06,122.82847595214844
2015-02-09,121.42898559570312
2015-02-10,121.84484100341797
2015-02-11,122.79456329345703
2015-02-12,123.06824493408203
2015-02-13,122.5237045288086
2015-02-16,122.54421997070312
2015-02-17,122.22315216064453
2015-02-18,123.1969223022461
2015-02-19,123.5420150756836
2015-02-20,125.64586639404297
2015-02-23,127.97030639648438
2015-02-24,128.41085815429688
2015-02-25,127.85009765625
2015-02-26,128.72860717773438
2015-02-27,127.99199676513672
2015-03-02,128.82772827148438
2015-03-03,129.54006958007812
2015-03-04,128.07041931152344
2015-03-05,129.42318725585938
2015-03-06,129.64706420898438
2015-03-09,131.19442749023438
2015-03-10,131.8177032470703
2015-03-11,133.76510620117188
2015-03-12,133.04916381835938
2015-03-13,133.0634765625
2015-03-16,135.41159057617188
2015-03-17,134.8860626220703
2015-03-18,134.11386108398438
2015-03-19,135.48580932617188
2015-03-20,134.05960083007812
2015-03-23,132.44448852539062
2015-03-24,132.70477294921875
2015-03-25,130.67176818847656
2015-03-26,131.45828247070312
2015-03-27,132.27906799316406
2015-03-30,134.7655792236328
2015-03-31,136.41207885742188
2015-04-01,130.9933624267578
2015-04-02,130.45001220703125
2015-04-07,132.0936737060547
2015-04-08,131.99171447753906
2015-04-09,133.9390869140625
2015-04-10,135.48580932617188
2015-04-13,134.05960083007812
2015-04-14,133.17469787597656
2015-04-15,133.3387451171875
2015-04-16,130.9220428466797
2015-04-17,129.0174560546875
2015-04-20,130.4471435546875
2015-04-21,130.72596740722656
