Date,Price
2015-01-02,102.72687530517578
2015-01-05,99.60954284667969
2015-01-06,100.41773223876953
2015-01-07,100.90843200683594
2015-01-08,104.8050765991211
2015-01-09,102.43821716308594
2015-01-12,102.84232330322266
2015-01-13,105.4400863647461
2015-01-14,103.93914794921875
2015-01-15,105.72871398925781
2015-01-16,108.2976303100586
2015-01-19,108.15328979492188
2015-01-20,109.16352844238281
2015-01-21,109.65423583984375
2015-01-22,112.28084564208984
2015-01-23,115.28269958496094
2015-01-26,116.20633697509766
2015-01-27,114.9651870727539
2015-01-28,116.52384948730469
2015-01-29,116.75474548339844
2015-01-30,113.81061553955078
2015-02-02,116.72588348388672
2015-02-03,119.29476165771484
2015-02-04,120.24729919433594
2015-02-05,121.05548858642578
2015-02-06,122.21003723144531
2015-02-09,118.19796752929688
2015-02-10,119.72775268554688
2015-02-11,119.95865631103516
2015-02-12,122.38323211669922
2015-02-13,121.05548858642578
2015-02-16,120.82456970214844
2015-02-17,120.70912170410156
2015-02-18,122.98937225341797
2015-02-19,125.67373657226562
2015-02-20,126.30873107910156
2015-02-23,128.24261474609375
2015-02-24,127.23236846923828
2015-02-25,125.96237182617188
2015-02-26,126.45304107666016
2015-02-27,127.78079986572266
2015-03-02,129.80128479003906
2015-03-03,126.68396759033203
2015-03-04,127.29010009765625
2015-03-05,128.8487548828125
2015-03-06,131.04241943359375
2015-03-09,131.38877868652344
2015-03-10,131.21560668945312
2015-03-11,137.07501220703125
2015-03-12,136.09359741210938
2015-03-13,138.95115661621094
2015-03-16,142.905517578125
2015-03-17,142.8766326904297
2015-03-18,138.0563507080078
2015-03-19,138.51817321777344
2015-03-20,139.8748016357422
2015-03-23,135.0833740234375
2015-03-24,136.81521606445312
2015-03-25,135.7183837890625
2015-03-26,135.80496215820312
2015-03-27,136.18019104003906
2015-03-30,139.52842712402344
2015-03-31,138.57591247558594
2015-04-01,137.94090270996094
2015-04-02,137.27703857421875
2015-04-07,137.39248657226562
2015-04-08,137.59454345703125
2015-04-09,139.7016143798828
2015-04-10,141.31800842285156
2015-04-13,138.63363647460938
2015-04-14,138.1717987060547
2015-04-15,136.55545043945312
2015-04-16,134.3617706298828
2015-04-17,131.966064453125
2015-04-20,131.18673706054688
2015-04-21,130.29197692871094
2015-04-22,130.37857055664062
2015-04-23,130.52285766601562
2015-04-24,133.46697998046875
2015-04-27,139.4129638671875
2015-04-28,136.49771118164062
2015-04-29,131.5619659423828
2015-04-30,131.21560668945312
2015-05-04,131.3022003173828
2015-05-05,129.9456024169922
2015-05-06,128.35296630859375
2015-05-07,130.12254333496094
2015-05-08,132.92437744140625
2015-05-11,132.92437744140625
2015-05-12,128.79537963867188
2015-05-13,128.67739868164062
2015-05-14,130.32899475097656
2015-05-15,126.99629974365234
2015-05-18,131.5677032470703
2015-05-19,137.289306640625
2015-05-20,136.75843811035156
2015-05-21,135.43125915527344
2015-05-22,135.4017791748047
2015-05-26,133.45526123046875
2015-05-27,134.5169677734375
2015-05-28,132.0985565185547
2015-05-29,129.47369384765625
2015-06-01,129.50318908691406
2015-06-02,127.02578735351562
2015-06-03,127.55667114257812
2015-06-04,127.11428833007812
2015-06-05,125.81661224365234
2015-06-08,123.7520751953125
2015-06-09,123.01477813720703
2015-06-10,126.73086547851562
2015-06-11,126.99629974365234
2015-06-12,125.16773223876953
2015-06-15,122.48387908935547
2015-06-16,122.77881622314453
2015-06-17,121.62860870361328
2015-06-18,121.36317443847656
2015-06-19,121.71710205078125
2015-06-22,127.08480834960938
2015-06-23,128.79537963867188
2015-06-24,127.26174926757812
2015-06-25,127.37969970703125
2015-06-26,128.20550537109375
2015-06-29,123.5161361694336
2015-06-30,122.42491912841797
2015-07-01,126.61288452148438
2015-07-02,124.72535705566406
2015-07-03,124.34194946289062
2015-07-06,122.83779907226562
2015-07-07,119.7115707397461
2015-07-08,116.49684143066406
2015-07-09,120.00648498535156
2015-07-10,119.97698211669922
2015-07-13,121.36317443847656
2015-07-14,118.85628509521484
2015-07-15,117.4700927734375
2015-07-16,119.82955169677734
2015-07-17,119.5641098022461
2015-07-20,118.56134033203125
2015-07-21,117.3226547241211
2015-07-22,115.67103576660156
2015-07-23,117.08667755126953
2015-07-24,111.8074951171875
2015-07-27,109.3890609741211
2015-07-28,112.42681884765625
2015-07-29,109.65449523925781
2015-07-30,109.44804382324219
2015-07-31,108.56326293945312
2015-08-03,109.56600952148438
2015-08-04,109.71348571777344
2015-08-05,113.48856353759766
2015-08-06,112.07290649414062
2015-08-07,112.9872055053711
2015-08-10,114.52082061767578
2015-08-11,109.83145904541016
2015-08-12,104.84716033935547
2015-08-13,106.43976593017578
2015-08-14,106.17432403564453
2015-08-17,105.02412414550781
2015-08-18,103.343017578125
2015-08-19,100.8656234741211
2015-08-20,99.12553405761719
2015-08-21,97.32645416259766
2015-08-24,93.52188873291016
2015-08-25,98.97808837890625
2015-08-26,97.8868408203125
2015-08-27,100.95409393310547
2015-08-28,100.57068634033203
