Date,Price
2015-01-02,109.37501525878906
2015-01-05,106.05597686767578
2015-01-06,106.91645812988281
2015-01-07,107.43891906738281
2015-01-08,111.58773803710938
2015-01-09,109.06770324707031
2015-01-12,109.49795532226562
2015-01-13,112.26383209228516
2015-01-14,110.66577911376953
2015-01-15,112.57115173339844
2015-01-16,115.3062973022461
2015-01-19,115.15263366699219
2015-01-20,116.22825622558594
2015-01-21,116.75069427490234
2015-01-22,119.54730224609375
2015-01-23,122.74341583251953
2015-01-26,123.72683715820312
2015-01-27,122.40534973144531
2015-01-28,124.06489562988281
2015-01-29,124.31075286865234
2015-01-30,121.17607879638672
2015-02-02,124.280029296875
2015-02-03,127.01517486572266
2015-02-04,128.02931213378906
2015-02-05,128.8898162841797
2015-02-06,130.1190948486328
2015-02-09,125.84733581542969
2015-02-10,127.47614288330078
2015-02-11,127.72200012207031
2015-02-12,130.30348205566406
2015-02-13,128.8898162841797
2015-02-16,128.6439666748047
2015-02-17,128.52102661132812
2015-02-18,130.94883728027344
2015-02-19,133.8069305419922
2015-02-20,134.48304748535156
2015-02-23,136.54208374023438
2015-02-24,135.46646118164062
2015-02-25,134.1142578125
2015-02-26,134.6366729736328
2015-02-27,136.05035400390625
2015-03-02,138.20159912109375
2015-03-03,134.88253784179688
2015-03-04,135.5279083251953
2015-03-05,137.18743896484375
2015-03-06,139.5230712890625
2015-03-09,139.891845703125
2015-03-10,139.70745849609375
2015-03-11,145.94602966308594
2015-03-12,144.90115356445312
2015-03-13,147.943603515625
2015-03-16,152.15391540527344
2015-03-17,152.1231689453125
2015-03-18,146.9909210205078
2015-03-19,147.48263549804688
2015-03-20,148.9270782470703
2015-03-23,143.8255615234375
2015-03-24,145.66946411132812
2015-03-25,144.50164794921875
2015-03-26,144.59384155273438
2015-03-27,144.99334716796875
2015-03-30,148.5582733154297
2015-03-31,147.5441131591797
2015-04-01,146.8679962158203
2015-04-02,146.16116333007812
2015-04-07,146.28408813476562
2015-04-08,146.49923706054688
2015-04-09,148.74266052246094
2015-04-10,150.46365356445312
2015-04-13,147.6055908203125
2015-04-14,147.1138916015625
2015-04-15,145.3928680419922
2015-04-16,143.05723571777344
2015-04-17,140.50648498535156
2015-04-20,139.67672729492188
2015-04-21,138.7240447998047
2015-04-22,138.81622314453125
2015-04-23,138.9698944091797
2015-04-24,142.10455322265625
2015-04-27,148.43533325195312
2015-04-28,145.3314208984375
2015-04-29,140.0762481689453
2015-04-30,139.70745849609375
2015-05-04,139.79966735839844
2015-05-05,138.3552703857422
2015-05-06,136.65956115722656
2015-05-07,138.5436553955078
2015-05-08,141.5268096923828
2015-05-11,141.5268096923828
2015-05-12,137.13059997558594
2015-05-13,137.00497436523438
2015-05-14,138.7634735107422
2015-05-15,135.21511840820312
2015-05-18,140.0823516845703
2015-05-19,146.1742401123047
2015-05-20,145.60902404785156
2015-05-21,144.19593811035156
2015-05-22,144.16453552246094
2015-05-26,142.09205627441406
2015-05-27,143.22250366210938
2015-05-28,140.64756774902344
2015-05-29,137.85284423828125
2015-06-01,137.8842315673828
2015-06-02,135.2465057373047
2015-06-03,135.8117218017578
2015-06-04,135.3406982421875
2015-06-05,133.9590301513672
2015-06-08,131.7609405517578
2015-06-09,130.97589111328125
2015-06-10,134.9324951171875
2015-06-11,135.21511840820312
2015-06-12,133.26820373535156
2015-06-15,130.41064453125
2015-06-16,130.72467041015625
2015-06-17,129.5
2015-06-18,129.2174072265625
2015-06-19,129.59422302246094
2015-06-22,135.30929565429688
2015-06-23,137.13059997558594
2015-06-24,135.49771118164062
2015-06-25,135.6233367919922
2015-06-26,136.5025634765625
2015-06-29,131.5096893310547
2015-06-30,130.3478546142578
2015-07-01,134.806884765625
2015-07-02,132.79718017578125
2015-07-03,132.3889617919922
2015-07-06,130.78749084472656
2015-07-07,127.45892333984375
2015-07-08,124.03614807128906
2015-07-09,127.7729263305664
2015-07-10,127.74151611328125
2015-07-13,129.2174072265625
2015-07-14,126.54829406738281
2015-07-15,125.07238006591797
2015-07-16,127.58451080322266
2015-07-17,127.3019027709961
2015-07-20,126.23426055908203
2015-07-21,124.9153823852539
2015-07-22,123.15692138671875
2015-07-23,124.6641845703125
2015-07-24,119.04330444335938
2015-07-27,116.4683609008789
2015-07-28,119.70272827148438
2015-07-29,116.75098419189453
2015-07-30,116.53116607666016
2015-07-31,115.58912658691406
2015-08-03,116.65679931640625
2015-08-04,116.81379699707031
2015-08-05,120.83317565917969
2015-08-06,119.32591247558594
2015-08-07,120.29936981201172
2015-08-10,121.93222045898438
2015-08-11,116.93939208984375
2015-08-12,111.63255310058594
2015-08-13,113.32820892333984
2015-08-14,113.04560852050781
2015-08-17,111.82093048095703
2015-08-18,110.03105926513672
2015-08-19,107.3933334350586
2015-08-20,105.54063415527344
2015-08-21,103.62513732910156
2015-08-24,99.57433319091797
2015-08-25,105.38363647460938
2015-08-26,104.22176361083984
2015-08-27,107.4875259399414
2015-08-28,107.07933044433594
2015-08-31,104.69278717041016
2015-09-01,101.70963287353516
2015-09-02,100.17095947265625
2015-09-03,103.24832153320312
2015-09-04,100.45357513427734
2015-09-07,101.20721435546875
2015-09-08,103.87635040283203
2015-09-09,106.51409912109375
2015-09-10,104.81838989257812
2015-09-11,104.41017150878906
2015-09-14,103.93914031982422
2015-09-15,104.78700256347656
2015-09-16,105.19520568847656
2015-09-17,105.13240814208984
2015-09-18,101.33283233642578
2015-09-21,83.96776580810547
2015-09-22,69.8370590209961
2015-09-23,74.67290496826172
2015-09-24,74.67290496826172
2015-09-25,72.56900787353516
2015-09-28,67.26212310791016
2015-09-29,64.87561798095703
2015-09-30,65.91184997558594
2015-10-01,65.97467041015625
2015-10-02,63.525352478027344
2015-10-05,64.56159210205078
2015-10-06,67.13653564453125
2015-10-07,72.16077423095703
2015-10-08,72.97721099853516
2015-10-09,79.0691146850586
2015-10-12,83.18273162841797
2015-10-13,82.0208511352539
2015-10-14,80.76480102539062
2015-10-15,77.7502670288086
2015-10-16,76.11737060546875
2015-10-19,74.4844970703125
2015-10-20,73.00861358642578
2015-10-21,75.33233642578125
2015-10-22,77.81306457519531
2015-10-23,76.52558898925781
2015-10-26,78.50389099121094
2015-10-27,76.49420166015625
2015-10-28,77.90725708007812
2015-10-29,78.75511169433594
2015-10-30,79.1947250366211
2015-11-02,79.60295867919922
2015-11-03,77.93865966796875
2015-11-04,73.57384490966797
2015-11-05,75.42654418945312
2015-11-06,76.55699157714844
2015-11-09,75.42654418945312
2015-11-10,75.20673370361328
2015-11-11,74.20187377929688
2015-11-12,73.60525512695312
2015-11-13,74.39028930664062
2015-11-16,73.35403442382812
2015-11-17,73.47964477539062
