Date,Price
2015-01-02,37.58675765991211
2015-01-05,37.02627944946289
2015-01-06,37.306514739990234
2015-01-07,37.91648483276367
2015-01-08,38.4852180480957
2015-01-09,38.501708984375
2015-01-12,38.47698211669922
2015-01-13,38.559410095214844
2015-01-14,38.237953186035156
2015-01-15,37.86701965332031
2015-01-16,38.54291915893555
2015-01-20,38.328617095947266
2015-01-21,38.369834899902344
2015-01-22,39.12815475463867
2015-01-23,39.26829528808594
2015-01-26,39.98539352416992
2015-01-27,39.705142974853516
2015-01-28,39.40016555786133
2015-01-29,39.91122055053711
2015-01-30,39.5567741394043
2015-02-02,39.952423095703125
2015-02-03,40.66129684448242
2015-02-04,40.71900939941406
2015-02-05,41.971900939941406
2015-02-06,42.35929489135742
2015-02-09,41.99662780761719
2015-02-10,42.70550537109375
2015-02-11,42.68077850341797
2015-02-12,43.587459564208984
2015-02-13,43.34844970703125
2015-02-17,43.29897689819336
2015-02-18,43.66165542602539
2015-02-19,43.60395050048828
2015-02-20,44.354034423828125
2015-02-23,44.13147735595703
2015-02-24,44.18093490600586
2015-02-25,44.31281661987305
2015-02-26,43.79352569580078
2015-02-27,43.875972747802734
2015-03-02,45.02994155883789
2015-03-03,44.535377502441406
2015-03-04,44.00784683227539
2015-03-05,44.04906463623047
2015-03-06,43.653404235839844
2015-03-09,43.744075775146484
2015-03-10,42.77967834472656
2015-03-11,42.68853759765625
2015-03-12,43.61655044555664
2015-03-13,42.97026062011719
2015-03-16,43.815399169921875
2015-03-17,44.02256393432617
2015-03-18,44.75999069213867
2015-03-19,44.71028137207031
2015-03-20,44.693702697753906
2015-03-23,44.5445556640625
2015-03-24,44.19655227661133
2015-03-25,43.52540588378906
2015-03-26,43.70769119262695
2015-03-27,44.33741760253906
2015-03-30,45.174278259277344
2015-03-31,45.58028793334961
2015-04-01,45.489131927490234
2015-04-02,45.92828369140625
2015-04-06,46.01115036010742
2015-04-07,45.132850646972656
2015-04-08,45.21570587158203
2015-04-09,44.950565338134766
2015-04-10,44.867713928222656
2015-04-13,44.75171661376953
2015-04-14,44.677127838134766
2015-04-15,44.65226745605469
2015-04-16,44.56112289428711
2015-04-17,43.57512283325195
2015-04-20,44.03912353515625
2015-04-21,44.40370559692383
