Date,Price
2015-01-02,24.55194854736328
2015-01-05,23.689998626708984
2015-01-06,23.826095581054688
2015-01-07,23.8714599609375
2015-01-08,24.393169403076172
2015-01-09,24.012096405029297
2015-01-12,24.148191452026367
2015-01-13,24.674434661865234
2015-01-14,24.388629913330078
2015-01-15,24.79692268371582
2015-01-16,25.001068115234375
2015-01-19,25.38214111328125
2015-01-20,25.46380043029785
2015-01-21,25.590824127197266
2015-01-22,25.613506317138672
2015-01-23,25.259653091430664
2015-01-26,26.289457321166992
2015-01-27,25.849407196044922
2015-01-28,26.076236724853516
2015-01-29,26.244089126586914
2015-01-30,26.103458404541016
2015-02-02,26.470918655395508
2015-02-03,26.71135902404785
2015-02-04,26.79755401611328
2015-02-05,26.62062644958496
2015-02-06,26.280384063720703
2015-02-09,25.518238067626953
2015-02-10,25.658872604370117
2015-02-11,25.21882438659668
2015-02-12,26.253164291381836
2015-02-13,26.266773223876953
2015-02-16,26.289457321166992
2015-02-17,26.008190155029297
2015-02-18,26.375652313232422
2015-02-19,26.502674102783203
2015-02-20,26.888282775878906
2015-02-23,27.146869659423828
2015-02-24,27.351016998291016
2015-02-25,27.400917053222656
2015-02-26,27.46896743774414
2015-02-27,27.609600067138672
2015-03-02,27.577844619750977
2015-03-03,27.056137084960938
2015-03-04,27.2829647064209
2015-03-05,27.51886749267578
2015-03-06,27.555160522460938
2015-03-09,27.54608917236328
2015-03-10,27.4462833404541
2015-03-11,26.969942092895508
2015-03-12,26.039945602416992
2015-03-13,26.40287208557129
2015-03-16,26.70228385925293
2015-03-17,26.5616512298584
2015-03-18,26.4482364654541
2015-03-19,26.484529495239258
2015-03-20,26.78847885131836
2015-03-23,26.78394317626953
2015-03-24,27.142333984375
2015-03-25,26.593406677246094
2015-03-26,26.330286026000977
2015-03-27,26.498140335083008
2015-03-30,26.64784812927246
2015-03-31,26.398332595825195
2015-04-01,26.416481018066406
2015-04-02,26.407407760620117
2015-04-07,27.092430114746094
2015-04-08,27.056137084960938
2015-04-09,27.46896743774414
2015-04-10,28.199356079101562
2015-04-13,27.909013748168945
