Date,Price
2015-01-02,268.2041015625
2015-01-05,261.2644958496094
2015-01-06,257.20465087890625
2015-01-07,262.6479187011719
2015-01-08,265.7154541015625
2015-01-09,262.5652160644531
2015-01-12,260.8359680175781
2015-01-13,261.62548828125
2015-01-14,259.9488830566406
2015-01-15,257.46783447265625
2015-01-16,261.693115234375
2015-01-20,260.5803527832031
2015-01-21,262.7681884765625
2015-01-22,271.25640869140625
2015-01-23,266.9937438964844
2015-01-26,268.70037841796875
2015-01-27,264.2569274902344
2015-01-28,259.40765380859375
2015-01-29,260.84356689453125
2015-01-30,256.0091857910156
2015-02-02,261.36981201171875
2015-02-03,265.3620910644531
2015-02-04,263.7305603027344
2015-02-05,269.7754211425781
2015-02-06,272.489501953125
2015-02-09,271.31671142578125
2015-02-10,278.6847839355469
2015-02-11,278.10589599609375
2015-02-12,281.8499755859375
2015-02-13,282.72216796875
2015-02-17,285.9475402832031
2015-02-18,284.0903625488281
2015-02-19,283.90252685546875
2015-02-20,283.1731872558594
2015-02-23,283.0153503417969
2015-02-24,284.2784423828125
2015-02-25,282.6318664550781
2015-02-26,281.9551696777344
2015-02-27,279.24859619140625
2015-03-02,283.0077819824219
2015-03-03,280.93280029296875
2015-03-04,279.1631164550781
2015-03-05,279.76806640625
2015-03-06,276.3875732421875
2015-03-09,275.7220153808594
2015-03-10,269.3695983886719
2015-03-11,271.0484924316406
2015-03-12,278.837890625
2015-03-13,278.10430908203125
2015-03-16,282.8989562988281
2015-03-17,283.0350646972656
2015-03-18,285.68194580078125
2015-03-19,279.775634765625
2015-03-20,286.34759521484375
2015-03-23,283.0880432128906
2015-03-24,279.13287353515625
2015-03-25,275.2154846191406
2015-03-26,273.87689208984375
2015-03-27,273.48370361328125
2015-03-30,278.3765563964844
2015-03-31,276.6675109863281
2015-04-01,274.19451904296875
2015-04-02,277.09100341796875
2015-04-06,277.52947998046875
2015-04-07,278.76983642578125
2015-04-08,279.5941162109375
2015-04-09,280.97052001953125
2015-04-10,279.3975524902344
2015-04-13,279.5789794921875
2015-04-14,282.5812072753906
2015-04-15,284.85009765625
2015-04-16,281.46209716796875
2015-04-17,276.3346862792969
2015-04-20,279.5941162109375
2015-04-21,277.9378967285156
2015-04-22,279.44293212890625
2015-04-23,281.2729797363281
2015-04-24,282.06707763671875
2015-04-27,281.2427673339844
2015-04-28,285.7500915527344
2015-04-29,277.29510498046875
2015-04-30,275.23052978515625
2015-05-01,278.7850036621094
2015-05-04,280.0176696777344
2015-05-05,276.8262634277344
2015-05-06,274.8222351074219
2015-05-07,276.5463562011719
2015-05-08,279.8437194824219
2015-05-11,278.1346740722656
2015-05-12,276.1607666015625
2015-05-13,276.1305847167969
2015-05-14,280.9251708984375
2015-05-15,280.45635986328125
2015-05-18,280.35040283203125
2015-05-19,280.63018798828125
2015-05-20,280.00250244140625
2015-05-21,278.46728515625
2015-05-22,278.36151123046875
2015-05-26,276.054931640625
2015-05-27,278.81524658203125
2015-05-28,279.44293212890625
2015-05-29,276.62200927734375
2015-06-01,275.4800720214844
2015-06-02,274.8222351074219
2015-06-03,275.9945068359375
2015-06-04,270.60992431640625
2015-06-05,270.3587646484375
2015-06-08,268.9358825683594
2015-06-09,268.3879699707031
2015-06-10,270.5794372558594
2015-06-11,271.4924621582031
2015-06-12,268.920654296875
2015-06-15,270.3283386230469
2015-06-16,271.85009765625
2015-06-17,271.865478515625
2015-06-18,274.5893859863281
2015-06-19,273.3034973144531
2015-06-22,273.1284484863281
2015-06-23,274.033935546875
2015-06-24,270.5488586425781
2015-06-25,267.1707458496094
2015-06-26,269.7120666503906
2015-06-29,262.15655517578125
2015-06-30,263.2521057128906
2015-07-01,264.3325500488281
2015-07-02,262.810791015625
2015-07-06,260.84002685546875
2015-07-07,260.6878356933594
2015-07-08,254.22808837890625
2015-07-09,256.335693359375
2015-07-10,258.2911071777344
2015-07-13,261.943359375
2015-07-14,260.7791748046875
2015-07-15,263.6401672363281
2015-07-16,269.56744384765625
2015-07-17,269.765380859375
2015-07-20,268.6696472167969
2015-07-21,267.6956787109375
2015-07-22,266.3108215332031
2015-07-23,263.6021728515625
2015-07-24,259.7748107910156
2015-07-27,255.8410186767578
2015-07-28,256.2975158691406
2015-07-29,258.5802001953125
2015-07-30,257.7508239746094
2015-07-31,255.90191650390625
2015-08-03,254.66921997070312
2015-08-04,252.9496612548828
2015-08-05,254.66165161132812
2015-08-06,253.4290771484375
2015-08-07,252.5007781982422
2015-08-10,255.34645080566406
2015-08-11,251.0931396484375
2015-08-12,248.90939331054688
2015-08-13,247.98109436035156
2015-08-14,249.6778106689453
2015-08-17,250.58323669433594
2015-08-18,250.11917114257812
2015-08-19,245.9646759033203
2015-08-20,241.2471923828125
2015-08-21,233.79812622070312
2015-08-24,227.63490295410156
2015-08-25,224.20335388183594
2015-08-26,230.61753845214844
2015-08-27,239.2764892578125
2015-08-28,236.8113250732422
2015-08-31,231.76925659179688
2015-09-01,225.5089111328125
2015-09-02,228.7501678466797
2015-09-03,230.07582092285156
2015-09-04,225.46290588378906
2015-09-08,230.97235107421875
2015-09-09,227.40158081054688
2015-09-10,230.88026428222656
